,SowingSeedsDistributed_Maize_320,LivestockCensus_2012_Cattle_354,LivestockCensus_2012_Buffaloes_355,RuralRationCardHolders_47,TotalBPLPriorityCardHoldersAkshayaWithoutCylinder_39,RuralRationShops_29,PWDRoadLength_MajorDistrictRoads_521,MotorVehicles_Trailers_515,NetAreaIrrigatedUnderDifferentSources_OtherSources_GrossIrrigatedArea_186,NetAreaIrrigatedUnderDifferentSources_OtherSources_NetIrrigatedArea_187,NetAreaIrrigatedUnderDifferentSources_TotalGrossIrrigatedArea_188,NetAreaIrrigatedUnderDifferentSources_TotalNetIrrigatedArea_189,NetAreaIrrigatedUnderDifferentSources_TubeWells_GrossIrrigatedArea_181,NetAreaIrrigated_Wells_GrossIrrigatedArea_178,NetAreaIrrigated_Wells_NetAreaIrrigated_179,NetAreaIrrigatedUnderDifferentSources_TubeWells_NetIrrigatedArea_182,NetAreaIrrigatedUnderDifferentSources_LiftIrrigation_No_183,AreaUnderCereals_Maize_193,MotorVehicles_Tractors_514,TotalAgricultureLoan,TotalNPK_315,Maize_Production_226,District
20,2471.35,33424.645600479584,13714.935136215281,194626,65265,265,1388.5,1692.6120067370184,0.0,0.0,9216.654434727998,6312.15085973109,4619.0213928880685,0.0,0.0,3590.483188855373,0.0,5329.839091834696,2465.0074582980465,13534.020733954383,6447.725407503973,15633.159749169768,DHARAWAD
21,4111.0,34261.98176791555,14647.95489848517,163734,118862,255,1179.19,3150.8390088905694,3427.519132241582,2886.4077451670755,22817.704096322017,20360.967132990845,11394.80188564709,89.58479688361784,89.58479688361784,10006.597794528294,2.8820846182397157,8205.054734410285,6710.453686134805,19805.42130545332,5591.244159385049,33258.295799613574,GADAG
22,11325.6,95150.6402686615,32919.87690471686,246637,158022,363,1848.28,3462.5580401973484,7769.609815022341,6701.455625736782,40663.40971605711,32986.07237560216,27676.727561816886,6.686411200535577,6.686411200535577,21067.544410647497,3520.0611765219546,57067.18231433104,5245.48958682016,34499.728770357004,21731.170722300652,138237.2054037927,HAVERI
23,1469.2,22563.77107559554,5880.488850957837,255636,120232,357,2038.56,127.16416516316995,983.7644815229751,913.3855781072344,2761.919953741414,2624.376407008843,618.0754315197781,710.8871918758358,696.0882026704327,566.5133424330794,1.071420032970363,306.42612942952377,310.57788205728394,4798.404170834296,1025.6168265608799,1613.0228596368813,UTTARA KANNADA
24,5718.01,46893.695806229356,19387.703034248603,264934,131670,424,1805.59,1916.623442203354,1316.4094310063426,1168.1276771048103,35554.366572441315,27191.71177520048,12682.178609883445,551.6953490748189,413.9078001828618,10248.613354675945,490.22929116159173,13593.266408442034,3271.0573303223136,29539.722001904593,16808.309215921032,28360.248317435537,BALLARI
25,24.55,2371.831677930172,1322.6668997880165,237129,137237,573,877.08,49.47573786530901,4.085894950446614,3.216125233272335,457.54943924048337,380.2916384324099,255.67184244378814,197.7917018462486,175.73393727465438,201.34157592448318,21.77458373344446,13.976997082963418,53.157088761255956,1302.1967683583061,249.38118239631837,28.22706140271411,BIDAR
26,165.0,6221.617909951072,1200.0150507267233,372589,228492,774,1213.57,141.90460048208377,34.76932292416175,30.482333789034392,1414.3513572096704,1289.4500602604692,707.0639012807599,169.69112821988776,155.75183839401353,641.7596434738812,1.4991311699525112,34.63782018995539,215.02012070082026,1956.730439361779,710.1016144409267,192.2701476831199,KALABURAGI
27,0.0,1253.317143503848,309.9945903123585,164560,161662,328,1205.83,21.107301946582165,2.016749660479855,1.8312086917157087,562.6086192847442,520.8740018107742,94.07330466274333,44.84847894975102,43.12617473970123,88.87815753734722,9.60376188320507,3.8761928474422818,39.93971027614305,209.08962684472613,368.61746944318696,10.781543684925307,YADGIRI
28,14.35,188.53747925080708,71.84735129200486,259949,156015,581,1506.81,5.295601388943348,6.070490617661538,5.432624484265467,101.10151964692606,90.0005489550249,14.920817594444225,10.12605924357483,7.437046621966043,13.94958109503457,2.7047624026802946,1.3649810261973536,13.4461130934487,78.03171807674042,61.54751946394106,0.37956972382334103,RAICHUR
29,5292.0,38936.40017227125,11641.6858061697,190953,141775,370,1445.27,1298.2886957997882,0.0,0.0,20145.828137427186,18024.577218699604,13833.061957919292,0.0,0.0,12343.237177895211,1.4952075271217184,7208.3954882538055,2439.7301220045083,10689.809780668527,10997.550403485664,28446.62224499612,KOPPAL
